[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
9325439,SIERRA NEVADA HIGHWAY,Rabell Navigation Corp,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,12851,183.0,30.200000762939453,28.799999237060547,Vehicles Carrier
9252228,SPLENDID ACE,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,JPN,19893,198.0,32.200000762939453,33.700000762939453,Vehicles Carrier
9367607,CANOPUS LEADER,Leo PCTC Pte Ltd,United Ocean Ship Mgmt Pte Ltd,NYK Line,SNG,17382,179.89999389648438,32.200000762939453,34.799999237060547,Vehicles Carrier
9237307,GALAXY LEADER,Galaxy Maritime Ltd,Ray Car Carriers Ltd,NYK Line,BAH,17127,189.19999694824219,32.259998321533203,30.459999084472656,Vehicles Carrier
9237319,GLOBAL LEADER,Global Maritime Ltd-IOM,Ray Car Carriers Ltd,NYK Line,BAH,17006,189.19999694824219,32.259998321533203,30.459999084472656,Vehicles Carrier
9285615,MORNING CALM,Calm Maritime Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,21005,199.94999694824219,32.25,32.639999389648438,Vehicles Carrier
9403217,GLORIOUS EXPRESS,Sagittarius PCTC Pte Ltd,United Ocean Ship Mgmt Pte Ltd,United Ocean Ship Mgmt Pte Ltd,SNG,17212,179.89999389648438,32.200000762939453,34.799999237060547,Vehicles Carrier
9318462,HOEGH DELHI,Gram Car Carriers Holdings,Hoegh Fleet Services AS,Hoegh Autoliners AS,SNG,16890,199.89999389648438,32.259998321533203,32.439998626708984,Vehicles Carrier
9403279,HYPERION LEADER,Hyperion Maritime SA,NYK Line,NYK Line,PAN,14381,190.02999877929688,28.200000762939453,29.430000305175781,Vehicles Carrier
9494905,LAKE FUXIAN,Fair Wind Navigation SA,Eastern Pacific Shipping Pte,CSAV,LIB,17245,199.99000549316406,32.259998321533203,34.409999847412109,Vehicles Carrier
9407665,HOEGH CARIBIA,Gram Car Carriers Holdings,OSM Ship Management Pte Ltd,Hoegh Autoliners AS,SNG,4693,140.0,22.399999618530273,22.950000762939453,Vehicles Carrier
9293521,MIRACULOUS ACE,Miraculous Shipping Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,19381,199.97000122070313,32.259998321533203,34.799999237060547,Vehicles Carrier
9312834,MORNING CHORUS,OW Shipping Co Pte Ltd,Wallenius Marine Singapore Pte,EUKOR Car Carriers Inc,SNG,21276,199.99000549316406,32.259998321533203,32.639999389648438,Vehicles Carrier
9336074,MORNING COMPOSER,LOS International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,21052,199.97000122070313,32.259998321533203,32.639999389648438,Vehicles Carrier
9312822,MORNING CONCERT,Wilhelmsen Lines Car Carrier,Wilhelmsen Ship Management AS,EUKOR Car Carriers Inc,GBI,21500,199.99000549316406,32.259998321533203,32.639999389648438,Vehicles Carrier
9412567,TRANS LEADER,Lucretia Shipping SA,Santoku Senpaku Co Ltd,NYK Line,PAN,15154,180.0,30.0,33.520000457763672,Vehicles Carrier
8907606,NEKSU,Inderton Ltd SA,Natie Shipping Co Ltd,Natie Shipping Co Ltd,MGL,974,66.220001220703125,12.600000381469727,7.3499999046325684,Vehicles Carrier
8508917,SALZGITTER,Pureza Ships SA,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,PAN,12077,172.5,29.370000839233398,28.25,Vehicles Carrier
8321905,PRINCE,Best Oasis Ltd,Prayati Shipping Pvt Ltd,Prayati Shipping Pvt Ltd,PAL,15940,190.0,32.209999084472656,30.840000152587891,Vehicles Carrier
9250232,ATLANTIC HIGHWAY,Eternity Maritime Shipping SA,Fukunaga Kaiun KK,Kawasaki Kisen Kaisha Ltd,PAN,17232,199.94000244140625,32.200000762939453,33.740001678466797,Vehicles Carrier
9283887,SAGITTARIUS LEADER,Ocean Empire Panama SA,Excel Marine Co Ltd,NYK Line,PAN,20098,199.94000244140625,32.259998321533203,34.799999237060547,Vehicles Carrier
9294355,TIANJIN HIGHWAY,Bullet Navigation SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,15461,179.99000549316406,32.200000762939453,32.209999084472656,Vehicles Carrier
9676864,ARIES LEADER,Yugao Ship Holding SA,NYK Line,NYK Line,PAN,18808,199.97999572753906,35.799999237060547,38.0,Vehicles Carrier
9432907,TOKYO CAR,Roptin Shipping Inc,Zodiac Maritime Ltd,Mitsui OSK Lines Ltd,LIB,12352,182.80000305175781,31.5,31.799999237060547,Vehicles Carrier
8513510,CENTURY LEADER No. 5,Mandheling/Hachiuma/Nippon,Hachiuma Steamship Co Ltd,NYK Line,PAN,15539,199.94000244140625,32.209999084472656,21.850000381469727,Vehicles Carrier
