ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1979-01-01,132700.7254675275,-100989.42981895887,43187.012263737415,117999.04371750001,146131.1376795,-160128.76479584325,-173068.24357396373,-147572.5187106823,-160128.76479584325,-173068.24357396373,-147572.5187106823,0.0,0.0,0.0,-27428.03932831576
1979-02-01,132989.3571627714,-96678.86102696856,49990.59128643417,118521.55587806035,146207.23429221896,-159541.372046082,-171005.98681495778,-148643.1121965748,-159541.372046082,-171005.98681495778,-148643.1121965748,0.0,0.0,0.0,-26552.014883310592
1979-03-01,133250.05675847558,-103082.7334806351,51816.876587349296,119008.77034088154,146193.75619071987,-157978.67893683867,-178200.5321384547,-138415.1132000681,-157978.67893683867,-178200.5321384547,-138415.1132000681,0.0,0.0,0.0,-24728.62217836309
1979-04-01,133538.6884537195,-90758.09850375137,64134.64543376506,119519.87234845263,146276.30414410797,-146412.5019952579,-162995.1433758092,-129091.77634899352,-146412.5019952579,-162995.1433758092,-129091.77634899352,0.0,0.0,0.0,-12873.813541538402
1979-05-01,133818.00944911686,-10848.519825270381,138290.50458127973,120027.5195432641,146324.3572995356,-68830.94139687868,-88965.67558143135,-49456.067902949886,-68830.94139687868,-88965.67558143135,-49456.067902949886,0.0,0.0,0.0,64987.06805223817
1979-06-01,134106.64114436076,208978.28047480973,359888.11716554064,120627.14114548248,146461.61216511385,152873.68208862515,136466.82727254767,168468.29443203995,152873.68208862515,136466.82727254767,168468.29443203995,0.0,0.0,0.0,286980.3232329859
1979-07-01,134385.9621397581,495316.9319219911,655340.7117210067,121116.34700069598,146528.3926835801,440506.1622613634,422083.5111593361,457568.50670189486,440506.1622613634,422083.5111593361,457568.50670189486,0.0,0.0,0.0,574892.1244011215
1979-08-01,134674.59383500202,431333.350589067,584487.5424905594,121657.3017910355,146608.28093459093,372441.3284033278,354631.163749355,389230.8496573527,372441.3284033278,354631.163749355,389230.8496573527,0.0,0.0,0.0,507115.9222383298
1979-09-01,134963.22553024595,181212.35730814742,329719.6110119973,122050.6819803956,146678.1330749219,121287.96666868652,105531.8049536838,137220.8900423235,121287.96666868652,105531.8049536838,137220.8900423235,0.0,0.0,0.0,256251.19219893246
1979-10-01,135242.5465256433,-42160.026540102706,107358.97530725216,122520.64934697504,146929.3823840667,-102078.61841493525,-122310.7884269881,-83123.78510427977,-102078.61841493525,-122310.7884269881,-83123.78510427977,0.0,0.0,0.0,33163.928110708046
1979-11-01,135531.1782208872,-88476.2842912337,57933.991925695824,123071.88778951092,147098.79804544366,-148121.7564974075,-166187.4432789326,-130808.4918596163,-148121.7564974075,-166187.4432789326,-130808.4918596163,0.0,0.0,0.0,-12590.578276520304
