Name
"Glacier NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
2021,"23,417","17,238","30,976","53,134","175,277","587,237","796,868","670,628","533,388","149,564","26,300","17,629","3,081,656",81.4%
2020,"13,651","18,020","24,377",0,0,"202,701","453,977","459,121","343,911","125,544","29,366","28,196","1,698,864",-44.3%
2019,"13,581","11,240","23,989","35,491","167,403","544,088","879,711","771,874","488,909","78,408","20,008","15,137","3,049,839",2.9%
2018,"12,222","11,847","21,758","28,404","195,116","556,304","905,959","667,688","434,600","91,973","20,657","18,781","2,965,309",-10.3%
2017,"14,690","13,802","19,336","38,323","177,787","620,962","1,009,665","908,479","389,137","84,469","15,594","13,268","3,305,512",12.2%
2016,"15,674","16,548","21,257","55,125","183,925","485,017","818,481","748,565","482,592","75,797","30,823","12,877","2,946,681",24.5%
2015,"12,087","14,530","18,139","48,270","134,741","414,671","689,064","579,007","351,388","71,297","19,505","13,357","2,366,056",1.2%
2014,"12,111","10,242","13,214","28,667","112,187","334,074","699,650","675,119","353,497","72,694","15,706","11,367","2,338,528",6.8%
2013,"10,836","11,388","15,758","20,922","108,998","343,560","645,514","626,556","355,471","25,965","14,924","10,482","2,190,374",1.3%
2012,"10,318","10,194","12,416","32,085","112,055","313,713","630,093","604,039","356,975","54,127","16,158","9,862","2,162,035",16.6%
2011,"10,887","10,911","12,243","15,747","92,755","266,283","512,494","532,718","320,813","54,356","13,797","10,560","1,853,564",-15.7%
2010,"10,005","10,811","14,646","24,111","106,316","337,120","673,359","632,971","300,275","66,155","13,541","10,738","2,200,048",8.3%
2009,"9,800","11,642","10,647","21,805","102,993","327,572","603,681","541,997","325,257","49,525","15,801","10,628","2,031,348",12.4%
2008,"9,324","10,966","13,850","17,129","85,554","287,059","523,881","514,317","262,782","58,605","16,544","8,016","1,808,027",-13.2%
2007,"12,167","12,086","26,534","34,659","137,220","341,317","621,046","492,343","311,589","66,059","18,688","9,621","2,083,329",6.1%
2006,"10,009","10,702","12,439","23,373","100,842","324,244","587,137","493,092","287,424","87,759","16,606","10,772","1,964,399",2.0%
2005,"7,444","12,496","16,490","54,609","131,566","286,605","561,774","498,836","269,149","64,658","11,848","9,626","1,925,101",-5.4%
2004,"8,647","12,512","16,805","54,898","116,163","281,589","541,644","602,042","288,378","89,257","11,824","10,174","2,033,933",22.2%
2003,"9,321","17,673","12,414","31,312","97,852","370,232","490,284","261,481","235,172","107,295","20,937","10,073","1,664,046",-12.7%
2002,"6,171","9,065","9,097","18,887","82,027","225,695","585,823","549,161","305,959","87,651","17,819","8,334","1,905,689",13.4%
2001,"8,380","8,451","13,677","18,388","90,692","230,625","490,693","485,240","261,525","53,852","15,704","3,387","1,680,614",-2.8%
