ds,y
1979-01-01,"6,357"
1979-02-01,"3,480"
1979-03-01,"11,790"
1979-04-01,"15,000"
1979-05-01,"65,923"
1979-06-01,"235,210"
1979-07-01,"414,460"
1979-08-01,"404,303"
1979-09-01,"176,600"
1979-10-01,"75,265"
1979-11-01,"32,616"
1979-12-01,"5,082"
1980-01-01,"6,156"
1980-02-01,"6,156"
1980-03-01,"8,900"
1980-04-01,"21,109"
1980-05-01,"67,903"
1980-06-01,"237,851"
1980-07-01,"446,853"
1980-08-01,"423,107"
1980-09-01,"151,586"
1980-10-01,"78,063"
1980-11-01,"22,503"
1980-12-01,"4,391"
1981-01-01,"8,964"
1981-02-01,"8,278"
1981-03-01,"15,483"
1981-04-01,"26,804"
1981-05-01,"75,907"
1981-06-01,"260,397"
1981-07-01,"571,302"
1981-08-01,"510,227"
1981-09-01,"201,982"
1981-10-01,"61,304"
1981-11-01,"37,964"
1981-12-01,"7,911"
1982-01-01,"5,368"
1982-02-01,"5,463"
1982-03-01,"9,761"
1982-04-01,"20,038"
1982-05-01,"57,529"
1982-06-01,"237,560"
1982-07-01,"529,862"
1982-08-01,"513,554"
1982-09-01,"196,896"
1982-10-01,"65,203"
1982-11-01,"18,752"
1982-12-01,"6,128"
1983-01-01,"7,183"
1983-02-01,"7,178"
1983-03-01,"12,116"
1983-04-01,"26,414"
1983-05-01,"87,249"
1983-06-01,"310,923"
1983-07-01,"689,489"
1983-08-01,"673,399"
1983-09-01,"280,628"
1983-10-01,"63,185"
1983-11-01,"39,810"
1983-12-01,"6,273"
1984-01-01,"6,468"
1984-02-01,"9,255"
1984-03-01,"12,067"
1984-04-01,"31,817"
1984-05-01,"62,456"
1984-06-01,"321,531"
1984-07-01,"628,414"
1984-08-01,"545,651"
1984-09-01,"221,746"
1984-10-01,"70,526"
1984-11-01,"29,100"
1984-12-01,"7,672"
1985-01-01,"4,720"
1985-02-01,"5,587"
1985-03-01,"12,084"
1985-04-01,"36,976"
1985-05-01,"91,914"
1985-06-01,"296,523"
1985-07-01,"487,859"
1985-08-01,"423,209"
1985-09-01,"142,337"
1985-10-01,"61,381"
1985-11-01,"36,941"
1985-12-01,"3,480"
1986-01-01,"5,442"
1986-02-01,"3,725"
1986-03-01,"10,192"
1986-04-01,"26,049"
1986-05-01,"90,992"
1986-06-01,"270,600"
1986-07-01,"465,816"
1986-08-01,"459,919"
1986-09-01,"148,825"
1986-10-01,"71,771"
1986-11-01,"18,347"
1986-12-01,"7,473"
1987-01-01,"6,541"
1987-02-01,"7,118"
1987-03-01,"8,354"
1987-04-01,"29,332"
1987-05-01,"88,708"
1987-06-01,"282,364"
1987-07-01,"501,229"
1987-08-01,"436,118"
1987-09-01,"200,384"
1987-10-01,"67,647"
1987-11-01,"25,070"
1987-12-01,"7,872"
1988-01-01,"6,306"
1988-02-01,"8,433"
1988-03-01,"10,256"
1988-04-01,"25,452"
1988-05-01,"79,954"
1988-06-01,"290,208"
1988-07-01,"583,916"
1988-08-01,"508,564"
1988-09-01,"204,186"
1988-10-01,"75,624"
1988-11-01,"18,150"
1988-12-01,"6,684"
1989-01-01,"7,524"
1989-02-01,"7,237"
1989-03-01,"12,111"
1989-04-01,"25,457"
1989-05-01,"71,760"
1989-06-01,"300,384"
1989-07-01,"586,500"
1989-08-01,"499,464"
1989-09-01,"236,284"
1989-10-01,"54,142"
1989-11-01,"13,320"
1989-12-01,"7,340"
1990-01-01,"7,286"
1990-02-01,"7,738"
1990-03-01,"14,021"
1990-04-01,"24,443"
1990-05-01,"81,628"
1990-06-01,"288,607"
1990-07-01,"627,322"
1990-08-01,"593,055"
1990-09-01,"280,411"
1990-10-01,"42,362"
1990-11-01,"16,718"
1990-12-01,"3,146"
1991-01-01,"4,936"
1991-02-01,"8,447"
