,age,fnlwgt,education,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income,Scored Labels,Scored Probabilities
0,46,160647,Bachelors,13,Widowed,Unmarried,White,Female,0,0,38,<=50K,<=50K,0.18101018634479474
1,60,205934,HS-grad,9,Separated,Not-in-family,White,Female,0,0,25,<=50K,<=50K,0.01406797724521257
2,26,195327,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.009978056277633424
3,59,184948,Assoc-voc,11,Divorced,Not-in-family,White,Male,0,0,48,<=50K,<=50K,0.19067969145209826
4,37,243425,HS-grad,9,Divorced,Other-relative,White,Female,0,0,50,<=50K,<=50K,0.066198645147574
5,40,548664,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,15,<=50K,<=50K,0.117730672863138
6,41,137142,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.4025645742981681
7,57,296516,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,>50K,0.5361174148484801
8,32,321313,Masters,14,Never-married,Own-child,Black,Male,0,0,40,<=50K,<=50K,0.05454966718133277
9,23,124971,Some-college,10,Divorced,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.006773972229824857
10,23,123983,Assoc-voc,11,Never-married,Own-child,Asian-Pac-Islander,Male,0,0,40,<=50K,<=50K,0.002768455318704028
11,40,346847,Assoc-voc,11,Separated,Other-relative,White,Female,0,0,40,<=50K,<=50K,0.06748322117198902
12,40,261497,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,35,<=50K,<=50K,0.1441443085144283
13,35,387777,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,0,0,52,<=50K,>50K,0.5557477508431283
14,47,109089,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,70,<=50K,<=50K,0.4712032601050132
15,56,170217,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.35007191414271865
16,34,154667,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,<=50K,<=50K,0.3543555660452533
17,27,69757,Some-college,10,Never-married,Not-in-family,White,Female,0,0,60,<=50K,<=50K,0.01531762385044265
18,30,190511,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,<=50K,0.1857714369373627
19,53,88506,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,>50K,0.6823396799648634
20,31,111843,Assoc-acdm,12,Separated,Unmarried,Black,Female,0,0,40,<=50K,<=50K,0.014675184007500227
21,55,111625,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,60,<=50K,<=50K,0.38637308391927777
22,36,116138,HS-grad,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K,<=50K,0.13110136909188694
23,20,155775,HS-grad,9,Never-married,Own-child,White,Male,0,0,30,<=50K,<=50K,0.00019817586053214408
24,45,204196,Bachelors,13,Divorced,Unmarried,White,Male,0,0,50,>50K,<=50K,0.40013035172378786
25,69,111238,9th,5,Married-civ-spouse,Husband,White,Male,0,0,20,<=50K,<=50K,0.027471713374842163
26,29,116751,Assoc-voc,11,Divorced,Unmarried,White,Male,0,0,56,<=50K,<=50K,0.0771452570364891
27,48,36177,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,45,<=50K,<=50K,0.32150717372518667
28,66,340734,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.2612030674332874
29,48,166634,Bachelors,13,Married-civ-spouse,Wife,White,Female,7688,0,40,>50K,>50K,0.9965709924824103
30,25,80312,Assoc-voc,11,Never-married,Not-in-family,White,Female,4865,0,40,<=50K,<=50K,0.03449307390270376
31,23,377121,Some-college,10,Never-married,Unmarried,White,Female,0,0,25,<=50K,<=50K,0.0013379972157455257
32,25,123095,Some-college,10,Never-married,Own-child,White,Male,0,1590,40,<=50K,<=50K,0.0034371626267678665
33,34,346122,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.04121030737570997
34,28,76129,HS-grad,9,Never-married,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.009722347417910749
35,36,254202,HS-grad,9,Divorced,Unmarried,White,Female,0,0,50,<=50K,<=50K,0.05162673711036836
36,27,206903,Bachelors,13,Never-married,Unmarried,White,Male,0,0,35,<=50K,<=50K,0.028656068768241207
37,45,301802,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,>50K,0.7731335643922559
38,71,116165,Some-college,10,Widowed,Not-in-family,White,Female,0,0,14,<=50K,<=50K,0.011106757251628248
39,33,58582,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.15414501669453898
40,18,54440,Some-college,10,Never-married,Own-child,White,Male,0,0,30,<=50K,<=50K,0.00014992896026736057
41,25,50053,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,45,<=50K,<=50K,0.07210298942808085
42,53,135339,Bachelors,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,7688,0,20,>50K,>50K,0.9810813364008271
43,44,181344,Some-college,10,Married-civ-spouse,Husband,Black,Male,0,0,38,>50K,<=50K,0.4369582766480942
44,58,242670,HS-grad,9,Never-married,Unmarried,White,Female,0,0,40,<=50K,<=50K,0.027044234643395514
45,35,334999,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,45,<=50K,<=50K,0.2911664781527526
46,26,275703,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.1537802000511601
47,23,32616,Bachelors,13,Never-married,Own-child,White,Female,0,0,20,<=50K,<=50K,0.0007367954893393373
48,53,166368,Some-college,10,Never-married,Not-in-family,White,Male,0,0,40,<=50K,<=50K,0.1116796851490454
49,21,117210,Some-college,10,Never-married,Own-child,White,Male,0,0,45,<=50K,<=50K,0.00456538142556535
50,74,188709,Prof-school,15,Married-civ-spouse,Husband,White,Male,99999,0,50,>50K,>50K,0.9524256993931355
51,23,232512,HS-grad,9,Separated,Own-child,White,Female,0,0,40,<=50K,<=50K,0.0024468385272652655
52,35,230268,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,<=50K,0.3522141386059375
53,44,469454,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,7298,0,48,>50K,>50K,0.9923263858554604
54,36,138441,Some-college,10,Never-married,Own-child,White,Male,0,0,40,<=50K,<=50K,0.029784203199838075
55,35,333305,Some-college,10,Married-civ-spouse,Own-child,White,Female,0,0,40,<=50K,<=50K,0.2518136828737019
