Row_ID,Calendar_Year,Model_Year,NVVar1,NVVar2,NVVar3,NVVar4,HasLoss
2888916,2006,1998,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5872967,2005,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3914547,2006,2006,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
6453577,2005,2003,-0.2315299,-0.2661168,4.2094035,-0.2514189,0
9329943,2007,2001,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4783416,2007,2007,3.1977899,-0.2661168,-0.2723372,3.068692,0
124027,2007,2000,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
6245645,2007,2007,-0.2315299,-0.2661168,2.7154899,-0.2514189,0
3945544,2006,2004,-0.2315299,-0.2661168,2.7154899,-0.2514189,0
11030803,2006,1996,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
9719415,2006,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
12497044,2005,2001,-0.2315299,-0.2661168,-0.2723372,3.068692,0
5768676,2007,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
7588475,2007,1993,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
11041919,2005,1999,-0.2315299,-0.2661168,-0.2723372,6.3888025,0
9862264,2007,2001,-0.2315299,-0.2661168,-0.2723372,1.9619883,0
4563653,2005,1994,-0.2315299,2.0211828,1.9685332,-0.2514189,0
8247588,2007,1996,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
11310745,2005,1997,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
9007574,2005,1995,2.0546834,-0.2661168,-0.2723372,-0.2514189,0
5580689,2007,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4125628,2007,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
13171236,2005,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
2288615,2006,1997,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5500933,2007,1998,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3985794,2005,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4385045,2005,2004,-0.2315299,-0.2661168,4.2094035,-0.2514189,0
705989,2007,1991,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3351155,2006,2007,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4966946,2005,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
11430599,2006,1996,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3666163,2006,2004,-0.2315299,-0.2661168,2.7154899,-0.2514189,0
12461274,2006,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
121509,2007,2002,6.62711,-0.2661168,-0.2723372,-0.2514189,0
12457287,2007,1995,3.1977899,-0.2661168,-0.2723372,3.068692,0
9894257,2005,1999,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4279919,2007,2007,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3866117,2006,2004,-0.2315299,8.8830814,-0.2723372,-0.2514189,0
4852214,2005,1987,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
405773,2006,1995,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5974229,2005,2003,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
11942708,2006,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5835639,2006,2000,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4961226,2006,2002,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
12837158,2005,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
7804579,2005,1997,6.62711,-0.2661168,-0.2723372,-0.2514189,0
10723069,2007,1993,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5681805,2005,2000,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
6812573,2006,2002,-0.2315299,-0.2661168,-0.2723372,3.068692,0
7564554,2007,2007,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5611613,2005,2001,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5132128,2007,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
2744877,2007,2003,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
7940089,2005,2002,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
6100433,2005,1997,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
11180034,2007,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4899705,2005,2004,1.4831301,2.0211828,-0.2723372,-0.2514189,0
382243,2006,1997,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
13010098,2005,2001,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
11831513,2007,2006,-0.2315299,-0.2661168,2.7154899,-0.2514189,0
4650879,2005,2003,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
137136,2006,1999,-0.2315299,4.3084822,4.2094035,-0.2514189,0
6650646,2006,2002,-0.2315299,-0.2661168,-0.2723372,3.068692,0
1782418,2007,2006,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
7237245,2007,1998,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
2173425,2006,2000,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4378173,2007,2000,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
7490393,2005,1999,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5156244,2007,2001,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
11028193,2005,1990,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
4800514,2007,2006,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
6509339,2006,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5216818,2007,1995,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3063076,2005,1998,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3415599,2005,1998,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
6817788,2005,2000,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
5852467,2007,1995,3.1977899,-0.2661168,-0.2723372,3.068692,0
1246339,2007,1990,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
6459597,2005,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
1652274,2007,2006,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
7731573,2006,1996,-0.2315299,-0.2661168,2.7154899,-0.2514189,0
11266143,2007,1988,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
674148,2007,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
3039094,2005,2006,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
12150706,2005,1999,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
9294198,2007,1996,6.62711,-0.2661168,-0.2723372,-0.2514189,0
5383033,2006,2005,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
10259298,2007,2004,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
9441176,2007,2001,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
9769934,2006,2001,-0.2315299,-0.2661168,-0.2723372,-0.2514189,0
10571878,2005,1994,1.4831301,-0.2661168,-0.2723372,-0.2514189,0
9420829,2005,1995,1.4831301,-0.2661168,1.9685332,-0.2514189,0
